,index,heart_rate,anomaly
0,2020-01-01 00:00:00,54.0,1
1,2020-01-01 00:05:00,54.0,1
2,2020-01-01 00:10:00,54.0,1
3,2020-01-01 00:15:00,54.0,1
4,2020-01-01 00:20:00,54.0,1
5,2020-01-01 00:25:00,54.0,1
6,2020-01-01 00:30:00,53.8,1
7,2020-01-01 00:35:00,53.0,1
8,2020-01-01 00:40:00,52.6,1
9,2020-01-01 00:45:00,52.0,1
10,2020-01-01 00:50:00,52.4,1
11,2020-01-01 00:55:00,53.4,1
12,2020-01-01 01:00:00,54.4,1
13,2020-01-01 01:05:00,52.6,1
14,2020-01-01 01:10:00,49.4,1
15,2020-01-01 01:15:00,50.8,1
16,2020-01-01 01:20:00,52.0,1
17,2020-01-01 01:25:00,51.6,1
18,2020-01-01 01:30:00,55.0,1
19,2020-01-01 01:35:00,62.6,-1
20,2020-01-01 01:40:00,65.0,-1
21,2020-01-01 01:45:00,65.8,-1
22,2020-01-01 01:50:00,63.0,-1
23,2020-01-01 01:55:00,56.2,1
24,2020-01-01 02:00:00,53.4,1
25,2020-01-01 02:05:00,52.2,1
26,2020-01-01 02:10:00,54.8,1
27,2020-01-01 02:15:00,54.8,1
28,2020-01-01 02:20:00,51.4,1
29,2020-01-01 02:25:00,49.8,1
30,2020-01-01 02:30:00,50.6,1
31,2020-01-01 02:35:00,50.4,1
32,2020-01-01 02:40:00,51.0,1
33,2020-01-01 02:45:00,51.4,1
34,2020-01-01 02:50:00,52.0,1
35,2020-01-01 02:55:00,52.0,1
36,2020-01-01 03:00:00,52.0,1
37,2020-01-01 03:05:00,52.4,1
38,2020-01-01 03:10:00,56.2,1
39,2020-01-01 03:15:00,62.6,-1
40,2020-01-01 03:20:00,60.6,-1
41,2020-01-01 03:25:00,52.0,1
42,2020-01-01 03:30:00,49.0,1
43,2020-01-01 03:35:00,49.0,1
44,2020-01-01 03:40:00,50.2,1
45,2020-01-01 03:45:00,50.0,1
46,2020-01-01 03:50:00,47.0,1
47,2020-01-01 03:55:00,47.0,1
48,2020-01-01 04:00:00,47.0,1
49,2020-01-01 04:05:00,47.4,1
50,2020-01-01 04:10:00,48.4,1
51,2020-01-01 04:15:00,48.6,1
52,2020-01-01 04:20:00,48.4,1
53,2020-01-01 04:25:00,49.4,1
54,2020-01-01 04:30:00,47.6,1
55,2020-01-01 04:35:00,44.8,1
56,2020-01-01 04:40:00,46.0,1
57,2020-01-01 04:45:00,45.6,1
58,2020-01-01 04:50:00,45.0,1
59,2020-01-01 04:55:00,44.6,1
60,2020-01-01 05:00:00,44.4,1
61,2020-01-01 05:05:00,45.4,1
62,2020-01-01 05:10:00,46.0,1
63,2020-01-01 05:15:00,46.0,1
64,2020-01-01 05:20:00,46.0,1
65,2020-01-01 05:25:00,46.0,1
66,2020-01-01 05:30:00,46.8,1
67,2020-01-01 05:35:00,48.8,1
68,2020-01-01 05:40:00,50.4,1
69,2020-01-01 05:45:00,51.0,1
70,2020-01-01 05:50:00,51.8,1
71,2020-01-01 05:55:00,49.8,1
72,2020-01-01 06:00:00,45.0,1
73,2020-01-01 06:05:00,44.6,1
74,2020-01-01 06:10:00,44.0,1
75,2020-01-01 06:15:00,44.0,1
76,2020-01-01 06:20:00,44.8,1
77,2020-01-01 06:25:00,46.0,1
78,2020-01-01 06:30:00,46.8,1
79,2020-01-01 06:35:00,46.4,1
80,2020-01-01 06:40:00,44.4,1
81,2020-01-01 06:45:00,45.0,1
82,2020-01-01 06:50:00,45.0,1
83,2020-01-01 06:55:00,45.4,1
84,2020-01-01 07:00:00,45.2,1
85,2020-01-01 07:05:00,45.2,1
86,2020-01-01 07:10:00,49.4,1
87,2020-01-01 07:15:00,51.4,1
88,2020-01-01 07:20:00,49.4,1
89,2020-01-01 07:25:00,49.2,1
90,2020-01-01 07:30:00,49.6,1
91,2020-01-01 07:35:00,50.0,1
92,2020-01-01 07:40:00,47.4,1
93,2020-01-01 07:45:00,46.4,1
94,2020-01-01 07:50:00,45.2,1
95,2020-01-01 07:55:00,47.0,1
96,2020-01-01 08:00:00,47.01435897435898,1
97,2020-01-01 08:05:00,47.05025641025641,1
98,2020-01-01 08:10:00,47.08615384615384,1
99,2020-01-01 08:15:00,47.12205128205129,1
100,2020-01-01 08:20:00,47.15794871794871,1
101,2020-01-01 08:25:00,47.19384615384615,1
102,2020-01-01 08:30:00,47.22974358974359,1
103,2020-01-01 08:35:00,47.265641025641024,1
104,2020-01-01 08:40:00,47.30153846153846,1
105,2020-01-01 08:45:00,47.337435897435896,1
106,2020-01-01 08:50:00,47.373333333333335,1
107,2020-01-01 08:55:00,47.40923076923077,1
108,2020-01-01 09:00:00,47.445128205128206,1
109,2020-01-01 09:05:00,47.481025641025646,1
110,2020-01-01 09:10:00,47.51692307692308,1
111,2020-01-01 09:15:00,47.55282051282052,1
112,2020-01-01 09:20:00,47.58871794871796,1
113,2020-01-01 09:25:00,47.62461538461538,1
114,2020-01-01 09:30:00,47.66051282051282,1
115,2020-01-01 09:35:00,47.69641025641026,1
116,2020-01-01 09:40:00,47.73230769230769,1
117,2020-01-01 09:45:00,47.76820512820513,1
118,2020-01-01 09:50:00,47.80410256410256,1
119,2020-01-01 09:55:00,47.84,1
120,2020-01-01 10:00:00,47.87589743589744,1
121,2020-01-01 10:05:00,47.91179487179487,1
122,2020-01-01 10:10:00,47.94769230769231,1
123,2020-01-01 10:15:00,47.98358974358975,1
124,2020-01-01 10:20:00,48.01948717948718,1
125,2020-01-01 10:25:00,48.05538461538462,1
126,2020-01-01 10:30:00,48.09128205128205,1
127,2020-01-01 10:35:00,48.12717948717949,1
128,2020-01-01 10:40:00,48.16307692307693,1
129,2020-01-01 10:45:00,48.198974358974354,1
130,2020-01-01 10:50:00,48.2348717948718,1
131,2020-01-01 10:55:00,48.27076923076923,1
132,2020-01-01 11:00:00,48.306666666666665,1
133,2020-01-01 11:05:00,48.3425641025641,1
134,2020-01-01 11:10:00,48.378461538461536,1
135,2020-01-01 11:15:00,48.414358974358976,1
136,2020-01-01 11:20:00,48.450256410256415,1
137,2020-01-01 11:25:00,48.48615384615384,1
138,2020-01-01 11:30:00,48.52205128205128,1
139,2020-01-01 11:35:00,48.55794871794872,1
140,2020-01-01 11:40:00,48.59384615384615,1
141,2020-01-01 11:45:00,48.62974358974359,1
142,2020-01-01 11:50:00,48.66564102564102,1
143,2020-01-01 11:55:00,48.70153846153846,1
144,2020-01-01 12:00:00,48.7374358974359,1
145,2020-01-01 12:05:00,48.77333333333333,1
146,2020-01-01 12:10:00,48.80923076923077,1
147,2020-01-01 12:15:00,48.845128205128205,1
148,2020-01-01 12:20:00,48.88102564102565,1
149,2020-01-01 12:25:00,48.91692307692308,1
150,2020-01-01 12:30:00,48.95282051282052,1
151,2020-01-01 12:35:00,48.98871794871795,1
152,2020-01-01 12:40:00,49.02461538461539,1
153,2020-01-01 12:45:00,49.06051282051282,1
154,2020-01-01 12:50:00,49.09641025641026,1
155,2020-01-01 12:55:00,49.13230769230769,1
156,2020-01-01 13:00:00,49.16820512820512,1
157,2020-01-01 13:05:00,49.20410256410257,1
158,2020-01-01 13:10:00,49.24,1
159,2020-01-01 13:15:00,49.27589743589744,1
160,2020-01-01 13:20:00,49.31179487179487,1
161,2020-01-01 13:25:00,49.34769230769231,1
162,2020-01-01 13:30:00,49.38358974358975,1
163,2020-01-01 13:35:00,49.41948717948718,1
164,2020-01-01 13:40:00,49.45538461538462,1
165,2020-01-01 13:45:00,49.491282051282056,1
166,2020-01-01 13:50:00,49.52717948717949,1
167,2020-01-01 13:55:00,49.56307692307693,1
168,2020-01-01 14:00:00,49.59897435897436,1
169,2020-01-01 14:05:00,49.63487179487179,1
170,2020-01-01 14:10:00,49.67076923076924,1
171,2020-01-01 14:15:00,49.70666666666666,1
172,2020-01-01 14:20:00,49.7425641025641,1
173,2020-01-01 14:25:00,49.77846153846154,1
174,2020-01-01 14:30:00,49.814358974358974,1
175,2020-01-01 14:35:00,49.85025641025641,1
176,2020-01-01 14:40:00,49.886153846153846,1
177,2020-01-01 14:45:00,49.92205128205128,1
178,2020-01-01 14:50:00,49.95794871794872,1
179,2020-01-01 14:55:00,49.99384615384615,1
180,2020-01-01 15:00:00,50.02974358974359,1
181,2020-01-01 15:05:00,50.06564102564103,1
182,2020-01-01 15:10:00,50.10153846153846,1
183,2020-01-01 15:15:00,50.1374358974359,1
184,2020-01-01 15:20:00,50.17333333333333,1
185,2020-01-01 15:25:00,50.20923076923077,1
186,2020-01-01 15:30:00,50.24512820512821,1
187,2020-01-01 15:35:00,50.28102564102564,1
188,2020-01-01 15:40:00,50.31692307692308,1
189,2020-01-01 15:45:00,50.352820512820514,1
190,2020-01-01 15:50:00,50.388717948717954,1
191,2020-01-01 15:55:00,50.424615384615386,1
192,2020-01-01 16:00:00,50.46051282051282,1
193,2020-01-01 16:05:00,50.49641025641026,1
194,2020-01-01 16:10:00,50.5323076923077,1
195,2020-01-01 16:15:00,50.56820512820513,1
196,2020-01-01 16:20:00,50.60410256410257,1
197,2020-01-01 16:25:00,50.64,1
198,2020-01-01 16:30:00,50.67589743589743,1
199,2020-01-01 16:35:00,50.71179487179487,1
200,2020-01-01 16:40:00,50.747692307692304,1
201,2020-01-01 16:45:00,50.783589743589744,1
202,2020-01-01 16:50:00,50.81948717948718,1
203,2020-01-01 16:55:00,50.855384615384615,1
204,2020-01-01 17:00:00,50.891282051282055,1
205,2020-01-01 17:05:00,50.92717948717949,1
206,2020-01-01 17:10:00,50.963076923076926,1
207,2020-01-01 17:15:00,50.99897435897436,1
208,2020-01-01 17:20:00,51.0348717948718,1
209,2020-01-01 17:25:00,51.07076923076924,1
210,2020-01-01 17:30:00,51.10666666666667,1
211,2020-01-01 17:35:00,51.1425641025641,1
212,2020-01-01 17:40:00,51.17846153846154,1
213,2020-01-01 17:45:00,51.21435897435897,1
214,2020-01-01 17:50:00,51.250256410256405,1
215,2020-01-01 17:55:00,51.28615384615384,1
216,2020-01-01 18:00:00,51.32205128205128,1
217,2020-01-01 18:05:00,51.35794871794872,1
218,2020-01-01 18:10:00,51.39384615384616,1
219,2020-01-01 18:15:00,51.42974358974359,1
220,2020-01-01 18:20:00,51.46564102564103,1
221,2020-01-01 18:25:00,51.50153846153846,1
222,2020-01-01 18:30:00,51.5374358974359,1
223,2020-01-01 18:35:00,51.57333333333334,1
224,2020-01-01 18:40:00,51.60923076923077,1
225,2020-01-01 18:45:00,51.64512820512821,1
226,2020-01-01 18:50:00,51.68102564102564,1
227,2020-01-01 18:55:00,51.71692307692308,1
228,2020-01-01 19:00:00,51.75282051282052,1
229,2020-01-01 19:05:00,51.78871794871795,1
230,2020-01-01 19:10:00,51.82461538461539,1
231,2020-01-01 19:15:00,51.86051282051282,1
232,2020-01-01 19:20:00,51.89641025641025,1
233,2020-01-01 19:25:00,51.93230769230769,1
234,2020-01-01 19:30:00,51.96820512820513,1
235,2020-01-01 19:35:00,52.00410256410256,1
236,2020-01-01 19:40:00,52.04,1
237,2020-01-01 19:45:00,52.07589743589743,1
238,2020-01-01 19:50:00,52.11179487179487,1
239,2020-01-01 19:55:00,52.14769230769231,1
240,2020-01-01 20:00:00,52.18358974358974,1
241,2020-01-01 20:05:00,52.21948717948718,1
242,2020-01-01 20:10:00,52.25538461538461,1
243,2020-01-01 20:15:00,52.29128205128205,1
244,2020-01-01 20:20:00,52.32717948717949,1
245,2020-01-01 20:25:00,52.363076923076925,1
246,2020-01-01 20:30:00,52.39897435897437,1
247,2020-01-01 20:35:00,52.4348717948718,1
248,2020-01-01 20:40:00,52.47076923076924,1
249,2020-01-01 20:45:00,52.50666666666666,1
250,2020-01-01 20:50:00,52.5425641025641,1
251,2020-01-01 20:55:00,52.57846153846153,1
252,2020-01-01 21:00:00,52.61435897435897,1
253,2020-01-01 21:05:00,52.6502564102564,1
254,2020-01-01 21:10:00,52.68615384615384,1
255,2020-01-01 21:15:00,52.72205128205128,1
256,2020-01-01 21:20:00,52.75794871794872,1
257,2020-01-01 21:25:00,52.79384615384616,1
258,2020-01-01 21:30:00,52.82974358974359,1
259,2020-01-01 21:35:00,52.86564102564103,1
260,2020-01-01 21:40:00,52.90153846153847,1
261,2020-01-01 21:45:00,52.9374358974359,1
262,2020-01-01 21:50:00,52.973333333333336,1
263,2020-01-01 21:55:00,53.00923076923077,1
264,2020-01-01 22:00:00,53.04512820512821,1
265,2020-01-01 22:05:00,53.08102564102565,1
266,2020-01-01 22:10:00,53.11692307692308,1
267,2020-01-01 22:15:00,53.15282051282052,1
268,2020-01-01 22:20:00,53.18871794871795,1
269,2020-01-01 22:25:00,53.22461538461539,1
270,2020-01-01 22:30:00,53.260512820512815,1
271,2020-01-01 22:35:00,53.296410256410255,1
272,2020-01-01 22:40:00,53.33230769230769,1
273,2020-01-01 22:45:00,53.36820512820513,1
274,2020-01-01 22:50:00,53.40410256410256,1
275,2020-01-01 22:55:00,53.44,1
276,2020-01-01 23:00:00,53.47589743589744,1
277,2020-01-01 23:05:00,53.51179487179487,1
278,2020-01-01 23:10:00,53.54769230769231,1
279,2020-01-01 23:15:00,53.58358974358974,1
280,2020-01-01 23:20:00,53.61948717948718,1
281,2020-01-01 23:25:00,53.65538461538462,1
282,2020-01-01 23:30:00,53.69128205128205,1
283,2020-01-01 23:35:00,53.72717948717949,1
